"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,0
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,0.8
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,1.72996396396396
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,2.45
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,2.56
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.75,2.67
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.9,3.39003603603604
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.95,4.32
2026-02-28,"athens",0,"Flu ED visits pct",2026-02-28,"quantile",0.975,6.19875
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.025,0
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.05,0
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.1,0.981665665665666
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.25,2.21446446446447
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.5,2.56
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.75,2.95294544544545
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.9,4.18011411411412
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.95,6.28435835835836
2026-02-28,"athens",1,"Flu ED visits pct",2026-03-07,"quantile",0.975,6.90492042042042
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.025,0
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.05,0
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.1,0.120927927927928
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.25,1.83543293293293
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.5,2.56
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.75,3.26616116116116
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.9,5.17470570570571
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.95,6.57321121121121
2026-02-28,"athens",2,"Flu ED visits pct",2026-03-14,"quantile",0.975,7.88594444444444
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.025,0
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.05,0
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.1,0
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.25,1.58274524524525
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.5,2.56
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.75,3.5808983983984
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.9,6.06321621621622
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.95,7.10325475475475
2026-02-28,"athens",3,"Flu ED visits pct",2026-03-21,"quantile",0.975,8.51733233233231
2026-02-28,"austin",0,"Flu ED visits pct",2026-02-28,"quantile",0.025,1.85375
2026-02-28,"austin",0,"Flu ED visits pct",2026-02-28,"quantile",0.05,2.316
2026-02-28,"austin",0,"Flu ED visits pct",2026-02-28,"quantile",0.1,2.90296396396396
2026-02-28,"austin",0,"Flu ED visits pct",2026-02-28,"quantile",0.25,3.39
2026-02-28,"austin",0,"Flu ED visits pct",2026-02-28,"quantile",0.5,3.5
2026-02-28,"austin",0,"Flu ED visits pct",2026-02-28,"quantile",0.75,3.61
